#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                 328            -5.46981            -5.55634           0.0108384
                 329            -5.54016            -5.55629           0.0108056
                 330            -5.54167            -5.55625           0.0107729
                 331            -5.53467            -5.55618           0.0107406
                 332            -5.48932            -5.55598           0.0107101
                 333            -5.55159            -5.55597           0.0106779
                 334             -5.5848            -5.55605           0.0106463
                 335            -5.51347            -5.55592           0.0106153
                 336            -5.48761            -5.55572           0.0105857
                 337            -5.50495            -5.55557           0.0105553
                 338            -5.54544            -5.55554           0.0105241
                 339            -5.51002            -5.55541           0.0104939
                 340            -5.58685             -5.5555           0.0104635
                 341            -5.53648            -5.55544           0.0104329
                 342               -5.64            -5.55569           0.0104054
                 343             -5.6497            -5.55596           0.0103786
                 344            -5.52885            -5.55589           0.0103488
                 345            -5.57198            -5.55593           0.0103189
                 346            -5.60151            -5.55606           0.0102899
                 347            -5.60049            -5.55619            0.010261
                 348            -5.59222             -5.5563           0.0102321
                 349            -5.64614            -5.55655            0.010206
                 350            -5.64889            -5.55682           0.0101802
                 351            -5.55335            -5.55681           0.0101512
                 352            -5.51721            -5.55669            0.010123
                 353            -5.63048             -5.5569           0.0100965
                 354            -5.61354            -5.55706           0.0100693
                 355             -5.6707            -5.55738            0.010046
                 356            -5.73967             -5.5579           0.0100308
                 357            -5.64643            -5.55814           0.0100058
                 358            -5.54675            -5.55811          0.00997787
                 359            -5.58023            -5.55817          0.00995027
                 360            -5.59707            -5.55828          0.00992321
                 361            -5.54799            -5.55825          0.00989577
                 362            -5.57518             -5.5583          0.00986854
                 363            -5.61062            -5.55844          0.00984241
                 364            -5.61348             -5.5586          0.00981653
                 365            -5.60164            -5.55871          0.00979034
                 366            -5.56156            -5.55872           0.0097636
                 367            -5.53767            -5.55866          0.00973716
                 368            -5.47449            -5.55843          0.00971339
                 369            -5.59959            -5.55855           0.0096877
                 370            -5.54985            -5.55852          0.00966155
                 371            -5.48298            -5.55832          0.00963765
                 372            -5.37916            -5.55784          0.00962377
                 373            -5.41278            -5.55745          0.00960583
                 374            -5.41033            -5.55706          0.00958819
                 375            -5.36457            -5.55654          0.00957635
                 376            -5.38001            -5.55607          0.00956239
                 377            -5.39195            -5.55564          0.00954693
                 378            -5.44651            -5.55535          0.00952603
                 379            -5.39906            -5.55494          0.00950982
                 380            -5.45052            -5.55466          0.00948876
                 381            -5.53206             -5.5546          0.00946404
                 382            -5.54929            -5.55459          0.00943928
                 383            -5.55248            -5.55458          0.00941464
                 384             -5.5315            -5.55452          0.00939031
                 385            -5.59918            -5.55464          0.00936664
                 386            -5.59777            -5.55475          0.00934304
                 387            -5.58849            -5.55484           0.0093193
                 388            -5.60039            -5.55495          0.00929602
                 389            -5.67453            -5.55526          0.00927721
                 390            -5.62811            -5.55545           0.0092553
                 391            -5.66555            -5.55573          0.00923591
                 392            -5.71114            -5.55613          0.00922085
