#     BLOCK:  ACTUAL_H:  H_AVE:   H_AVE:ERROR:
         236   -0.424992   -0.410079 0.000874377
         237   -0.429847   -0.410163 0.000874657
         238   -0.404652    -0.41014 0.000871289
         239   -0.408149   -0.410131 0.000867683
         240   -0.410891   -0.410134 0.000864073
         241    -0.41635    -0.41016 0.000860873
         242   -0.406148   -0.410144 0.000857475
         243   -0.417922   -0.410176 0.000854543
         244    -0.40768   -0.410165 0.000851102
         245   -0.417943   -0.410197  0.00084822
         246   -0.432855   -0.410289 0.000849758
         247   -0.405244   -0.410269 0.000846563
         248   -0.410571    -0.41027 0.000843151
         249   -0.418099   -0.410301  0.00084035
         250   -0.427673   -0.410371 0.000839857
         251   -0.416449   -0.410395  0.00083686
         252   -0.422388   -0.410443 0.000834891
         253   -0.417462   -0.410471 0.000832052
         254   -0.407456   -0.410459 0.000828861
         255   -0.435201   -0.410556  0.00083127
         256   -0.431705   -0.410638 0.000832118
         257   -0.387889    -0.41055 0.000833575
         258   -0.423696   -0.410601   0.0008319
         259   -0.410947   -0.410602 0.000828689
         260   -0.407461    -0.41059  0.00082559
         261   -0.407316   -0.410577 0.000822522
         262   -0.411755   -0.410582 0.000819395
         263   -0.403402   -0.410555 0.000816734
         264   -0.404666   -0.410532 0.000813945
         265   -0.425165   -0.410588 0.000812744
         266   -0.413437   -0.410598 0.000809759
         267   -0.418339   -0.410627 0.000807245
         268   -0.391059   -0.410554 0.000807529
         269   -0.382998   -0.410452 0.000810998
         270   -0.397578   -0.410404 0.000809395
         271   -0.405791   -0.410387 0.000806587
         272   -0.405287   -0.410368  0.00080384
         273   -0.423988   -0.410418 0.000802442
         274    -0.41303   -0.410428  0.00079957
         275   -0.401267   -0.410394 0.000797356
         276   -0.403478   -0.410369 0.000794861
         277   -0.402227    -0.41034 0.000792534
         278   -0.415698   -0.410359 0.000789918
         279   -0.400999   -0.410326 0.000787799
         280   -0.393985   -0.410267 0.000787144
         281   -0.402465    -0.41024 0.000784832
         282   -0.426873   -0.410299 0.000784262
         283   -0.408518   -0.410292 0.000781516
         284   -0.417605   -0.410318 0.000779188
         285   -0.422774   -0.410362 0.000777679
         286   -0.427161    -0.41042 0.000777175
         287   -0.400989   -0.410388 0.000775162
         288   -0.395025   -0.410334 0.000774303
         289   -0.426126   -0.410389  0.00077355
         290   -0.389601   -0.410317 0.000774196
         291   -0.415595   -0.410335 0.000771748
         292   -0.407374   -0.410325 0.000769172
         293   -0.424217   -0.410373 0.000768007
         294   -0.414713   -0.410387 0.000765536
         295   -0.417512   -0.410412 0.000763322
         296   -0.396763   -0.410365 0.000762135
         297   -0.391427   -0.410302 0.000762231
         298   -0.428726   -0.410364 0.000762177
         299   -0.412435    -0.41037 0.000759659
         300   -0.405493   -0.410354 0.000757301
